k,silhouette,davies_bouldin,calinski_harabasz,inertia,balance,silhouette_norm,davies_bouldin_norm,calinski_harabasz_norm,composite_score
2,0.6315969884416947,1.0931428738466744,1685.5704870544841,35653.31145193167,0.2658874922281913,1.0,1.0,1.0,0.8898831238342286
3,0.23452729717106133,1.4756507805467949,1527.1957195148532,29763.81384370835,0.7479368056303166,0.12967220318268932,0.2503733014937045,0.778173572453243,0.4147125104452256
4,0.24355591871518184,1.517320547393945,1373.5136673750994,26369.402606945376,0.806170104031936,0.14946182820203127,0.16871023204597846,0.562919961453086,0.3561447038502674
5,0.25195517531715445,1.3806610715267726,1301.4563395237492,23625.603120779124,0.732309835886809,0.16787196288117423,0.4365310794571752,0.46199340690057095,0.39323278398086886
6,0.254730609477112,1.429886095468367,1236.5214593827811,21601.71057557071,0.7662678276303526,0.17395537229456356,0.340061460045726,0.37104285518946367,0.3536006332564476
7,0.20923373875934875,1.426022324341299,1169.622776141046,20126.676407128598,0.8347445730704641,0.07423184233396428,0.34763355448621713,0.27734171742847064,0.3074366487561291
8,0.21054953607474408,1.437787802225409,1101.0421282673399,19051.711338596404,0.8003873795056341,0.07711590778580363,0.324575949171071,0.18128474855014545,0.2735138490811805
9,0.210862855119018,1.5311381100010364,1033.5053470361113,18258.071560021483,0.8196219492940034,0.07780266449249462,0.1416310170621209,0.08668986363717207,0.20725444514129687
10,0.17536694187456003,1.6034073927896428,971.6124195187824,17633.36198772296,0.8516866549318896,0.0,0.0,0.0,0.12775299823978342
